fid_1,bezeichnun,gis_id,elem_nr,datum,bildpfad,pgr_m,pgr_a,zw_pgr_m,zw_pgr_a,aun,twgeb,twrio,twsub,gw,kreuz,spt,ris,efli,afli,obs,ausbr,onf,zw_spt,zw_aun,zw_ris,zw_efli,zw_afli,zw_obs,lqrl,lqrp,eksl,eksp,btef,btep,sff,zw_btef,zw_btep,zw_lqrl,zw_lqrp,zw_eksl,zw_eksp,vnk,nnk,lage,fs,vst,bst,od_fs,zk,material,bauw,ausb
2622,Fahrbahn,Fl_20150413_2622,45520002_45520004.02,2015/4/13,Los1\Bilddaten\28049\28.jpg,5.41,1.654111111,1.85,2.37,0,3.19,2.22,2.46,3.19,M,13.30852648,5,0,0,0,0,0,3.19,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
2620,Fahrbahn,Fl_20150413_2620,45520002_45520004.02,2015/4/13,Los1\Bilddaten\28049\36.jpg,6.93,2.105172414,2.23,2.97,0,2.97,1,1.49,2.97,Lu,9.614581971,0,0,0,0,0,0,2.52,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,4,2,,
2618,Fahrbahn,Fl_20150413_2618,45520002_45520004.02,2015/4/13,Los1\Bilddaten\28049\45.jpg,6.87,2.227816092,2.22,3.14,0,3.14,1,1.53,3.14,Lu,10.51394614,0,0,0,0,0,0,2.68,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
2627,Fahrbahn,Fl_20150413_2627,45520002_45520004.02,2015/4/13,Los1\Bilddaten\28050\2.jpg,10.6,2.61,3.15,3.61,0,3.61,1,1.65,3.61,Ku,10.50631616,0,0,0,0,0,0,2.68,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1923,Fahrbahn,Fl_20150413_1923,45520002_45520004.02,2015/4/13,Los1\Bilddaten\28050\27.jpg,8.45,3.071805556,2.61,4.07,0,4.07,2.65,3.01,4.07,Ku,11.70175549,1,20,0,0,0,0,2.9,0,1.5,3.08,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
1922,Fahrbahn,Fl_20150413_1922,45520002_45520004.02,2015/4/13,Los1\Bilddaten\28050\32.jpg,6.75,2.353947368,2.19,3.31,0,3.31,2.22,2.49,3.31,M,8.380547438,5,0,0,0,0,0,2.3,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
234,Fahrbahn,Fl_20150413_234,45520013_45520002.02,2015/4/13,Los1\Bilddaten\28051\42.jpg,5.37,1.979871795,1.84,2.81,0,3.37,2.22,2.5,3.37,M,14.29505919,5,0,0,0,0,0,3.37,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
193,Fahrbahn,Fl_20150413_193,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28052\17.jpg,9.49,3.263035714,2.87,4.26,0,4.26,2.16,2.69,4.26,Ku,13.87504317,0,15,0,0,0,0,3.3,0,1,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
195,Fahrbahn,Fl_20150413_195,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28052\2.jpg,10.52,2.611707317,3.13,3.61,0,3.61,1,1.65,3.61,Ku,13.96459653,0,0,0,0,0,0,3.31,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1933,Fahrbahn,Fl_20150413_1933,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28052\33.jpg,10.09,3.516335878,3.02,4.52,0,4.52,2.62,3.1,4.52,U,15.82202518,5,10,0,0,0,0,3.58,0,2.07,2.25,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1091,Fahrbahn,Fl_20150413_1091,45520015_45520013.01,2015/4/13,Los1\Bilddaten\28052\4.jpg,16.36,4.653189655,4.59,5,0,5,2.95,3.47,5,U,11.87348914,5,20,0,0,0,0,2.93,0,2.07,3.08,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
189,Fahrbahn,Fl_20150413_189,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28052\48.jpg,7.93,2.317873134,2.48,3.26,0,3.51,1,1.63,3.51,Ku,15.06882645,0,0,0,0,0,0,3.51,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
186,Fahrbahn,Fl_20150413_186,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28052\67.jpg,7.62,2.027063492,2.41,2.87,0,3.45,1,1.61,3.45,Lu,14.7206632,0,0,0,0,0,0,3.45,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
194,Fahrbahn,Fl_20150413_194,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28052\8.jpg,15.01,4.56992126,4.25,5,0,5,1,2,5,U,12.51241684,0,0,0,0,0,0,3.05,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
198,Fahrbahn,Fl_20150413_198,45510008_45510028.02,2015/4/13,Los1\Bilddaten\28053\31.jpg,19.05,4.565802469,5,5,0,5,1.61,2.46,5,U,18.04028956,1,0,0,0,0,0,3.8,0,1.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
197,Fahrbahn,Fl_20150413_197,45510008_45510028.02,2015/4/13,Los1\Bilddaten\28053\39.jpg,7.01,2.551226415,2.25,3.55,0,4,1.99,2.49,4,Ku,19.96640887,1,5,0,0,0,0,4,0,1.5,1.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
212,Fahrbahn,Fl_20150413_212,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28054\15.jpg,7.88,1.332323232,2.47,1.94,0,3.51,3,3.13,3.51,Ku,15.08139634,10,5,1,0,0,0,3.51,0,2.79,1.83,1.5,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
210,Fahrbahn,Fl_20150413_210,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28054\26.jpg,6.92,1.840957447,2.23,2.62,0,3.34,2.22,2.5,3.34,M,14.09929405,5,0,0,0,0,0,3.34,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
206,Fahrbahn,Fl_20150413_206,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28054\47.jpg,4.05,1.34015873,1.51,1.95,0,3.67,1,1.67,3.67,Ku,16.69192958,0,0,0,0,0,0,3.67,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
